Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.377093	2.085922	14.780000	20.410000	
0.100000	1.913712	1.800556	27.122000	33.160000	
0.100000	1.669771	1.641006	37.418000	38.980000	
0.100000	1.388846	1.462493	49.204000	49.530000	
0.100000	1.136383	1.164739	59.142000	60.230000	
0.100000	0.963520	1.485482	65.942000	53.810000	
0.100000	0.828035	0.818550	71.344000	71.800000	
0.100000	0.746437	0.933105	74.108000	67.620000	
0.100000	0.696334	0.844768	75.888000	71.680000	
0.100000	0.668742	0.943225	76.752000	69.280000	
0.100000	0.642571	0.732467	77.696000	74.850000	
0.100000	0.620953	0.927449	78.650000	71.510000	
0.100000	0.605283	1.097370	78.968000	67.180000	
0.100000	0.586709	1.080498	79.734000	64.960000	
0.100000	0.580380	1.352822	80.122000	60.390000	
0.100000	0.571628	0.840611	80.250000	72.110000	
0.100000	0.561237	0.890083	80.424000	71.120000	
0.100000	0.551358	0.725767	81.062000	75.720000	
0.100000	0.541574	0.855907	81.212000	72.120000	
0.100000	0.537245	0.884020	81.512000	70.980000	
0.100000	0.530555	0.726818	81.666000	76.080000	
0.100000	0.520569	1.322413	82.252000	65.120000	
0.100000	0.520189	1.092692	82.066000	68.410000	
0.100000	0.511743	0.943434	82.248000	69.910000	
0.100000	0.505881	0.985117	82.682000	69.210000	
0.100000	0.508750	0.620956	82.478000	79.260000	
0.100000	0.494468	0.778471	82.862000	75.180000	
0.100000	0.496368	0.606937	82.926000	80.230000	
0.100000	0.495820	0.743037	82.984000	74.000000	
0.100000	0.488203	0.777780	83.102000	76.440000	
0.100000	0.482997	0.989402	83.426000	68.970000	
0.100000	0.479452	0.968015	83.346000	72.690000	
0.100000	0.474449	0.746570	83.538000	75.220000	
0.100000	0.472509	0.664098	83.662000	77.180000	
0.100000	0.469344	0.694895	83.648000	76.390000	
0.100000	0.477929	0.822065	83.616000	73.090000	
0.100000	0.466488	0.653351	83.864000	78.370000	
0.100000	0.462765	0.604152	84.124000	79.650000	
0.100000	0.459747	0.783584	83.958000	75.670000	
0.100000	0.462178	0.750477	83.972000	75.480000	
0.100000	0.461509	0.827025	84.046000	73.030000	
0.100000	0.451961	0.690412	84.518000	77.870000	
0.100000	0.454345	0.589134	84.320000	80.330000	
