Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.287765	1.942576	19.542000	25.040000	
0.100000	1.800498	1.680612	31.620000	37.800000	
0.100000	1.550775	1.463163	42.112000	46.890000	
0.100000	1.295428	1.256139	52.772000	55.310000	
0.100000	1.063550	1.069312	62.250000	62.160000	
0.100000	0.905611	1.105786	67.972000	61.530000	
0.100000	0.804715	0.839169	71.872000	70.670000	
0.100000	0.733137	0.815596	74.460000	72.510000	
0.100000	0.674176	0.881084	76.546000	70.290000	
0.100000	0.645833	1.075949	77.556000	68.080000	
0.100000	0.618309	0.740248	78.570000	75.880000	
0.100000	0.598721	0.749390	79.244000	74.200000	
0.100000	0.581068	0.616872	79.998000	79.240000	
0.100000	0.563754	0.712709	80.726000	75.760000	
0.100000	0.550512	0.932606	81.170000	70.110000	
0.100000	0.542612	0.855437	81.386000	72.310000	
0.100000	0.535725	0.853260	81.326000	73.220000	
0.100000	0.532252	0.639313	81.610000	78.120000	
0.100000	0.516696	0.902869	82.254000	72.090000	
0.100000	0.517549	0.820174	82.150000	73.530000	
0.100000	0.505948	0.798767	82.478000	73.000000	
0.100000	0.503424	0.993534	82.510000	70.150000	
0.100000	0.497726	0.618087	82.874000	78.960000	
0.100000	0.491011	0.868426	83.196000	72.440000	
0.100000	0.489245	0.571308	83.120000	80.840000	
0.100000	0.483459	0.644387	83.416000	78.770000	
0.100000	0.483055	1.075707	83.382000	67.670000	
0.100000	0.477760	0.757411	83.342000	74.980000	
0.100000	0.476178	1.077739	83.520000	69.740000	
0.100000	0.474657	0.810319	83.646000	75.590000	
0.100000	0.464128	0.635211	83.966000	78.210000	
0.100000	0.473586	0.668938	83.618000	78.100000	
0.100000	0.461821	0.751302	83.960000	75.050000	
0.100000	0.463406	0.674069	84.086000	77.560000	
0.100000	0.458850	0.603560	84.168000	80.600000	
0.100000	0.455963	0.769572	84.394000	75.110000	
0.100000	0.459459	0.698076	84.134000	76.980000	
0.100000	0.455235	0.564511	84.260000	80.930000	
0.100000	0.454282	0.631297	84.262000	78.560000	
0.100000	0.452393	0.687038	84.430000	77.870000	
0.100000	0.451342	0.599013	84.342000	80.010000	
0.100000	0.453209	0.654763	84.282000	78.040000	
0.100000	0.452354	0.756365	84.322000	76.500000	
0.100000	0.448298	0.796281	84.758000	75.850000	
0.100000	0.444885	0.955827	84.722000	70.270000	
0.100000	0.450168	0.732447	84.584000	76.770000	
0.100000	0.446260	0.581813	84.754000	80.900000	
0.100000	0.442730	0.740655	84.862000	76.370000	
0.100000	0.436951	0.545684	84.998000	81.990000	
0.100000	0.440255	0.712581	84.748000	75.910000	
0.100000	0.446210	0.586791	84.616000	79.720000	
0.100000	0.438100	0.660109	84.990000	78.030000	
0.100000	0.435360	0.585201	84.964000	80.570000	
0.100000	0.440150	0.685104	84.736000	76.520000	
0.100000	0.437080	0.650765	85.002000	78.610000	
0.100000	0.437071	0.634453	85.098000	78.600000	
0.100000	0.444985	1.098950	84.700000	68.650000	
0.100000	0.440857	0.692564	84.828000	77.580000	
0.100000	0.436168	0.796626	85.114000	73.930000	
0.100000	0.434696	0.633421	84.924000	79.970000	
0.100000	0.433083	0.788831	85.106000	75.130000	
0.100000	0.429452	0.493401	85.360000	83.100000	
0.100000	0.433157	0.669605	84.858000	78.030000	
0.100000	0.424879	0.574212	85.364000	80.680000	
0.100000	0.428584	0.805648	85.182000	74.760000	
0.100000	0.432099	0.606115	85.124000	79.860000	
0.100000	0.429522	0.576313	85.176000	80.280000	
0.100000	0.427351	0.849194	85.250000	73.960000	
0.100000	0.435272	0.701051	85.004000	77.570000	
0.100000	0.431694	0.765718	85.176000	75.070000	
0.100000	0.425436	0.640631	85.386000	78.040000	
0.100000	0.434630	0.599233	85.136000	79.200000	
0.100000	0.418216	0.547672	85.716000	82.160000	
0.100000	0.427657	0.565988	85.300000	81.030000	
0.100000	0.427867	0.943412	85.282000	71.520000	
0.100000	0.420699	0.865807	85.526000	73.420000	
0.100000	0.429779	0.562323	85.236000	80.450000	
0.100000	0.426041	0.701737	85.318000	77.250000	
0.100000	0.421861	0.557534	85.558000	81.730000	
0.100000	0.425356	1.132234	85.382000	67.430000	
0.100000	0.422653	0.758710	85.510000	75.840000	
0.100000	0.425582	0.602102	85.414000	80.230000	
0.100000	0.423865	0.737174	85.434000	76.770000	
0.100000	0.422668	0.554690	85.360000	81.240000	
0.100000	0.419528	0.824068	85.542000	76.560000	
0.100000	0.419996	0.673534	85.606000	77.300000	
0.100000	0.422153	0.567408	85.480000	81.410000	
0.100000	0.421757	0.633656	85.562000	79.080000	
