Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.449756	2.115004	12.228000	18.490000	
0.100000	1.939339	1.784962	24.672000	29.560000	
0.100000	1.662832	1.459376	36.010000	45.120000	
0.100000	1.362263	1.364558	49.694000	51.910000	
0.100000	1.129753	1.156655	59.206000	58.250000	
0.100000	0.972510	1.052607	65.334000	62.450000	
0.100000	0.851790	0.931446	70.004000	67.210000	
0.100000	0.764567	0.973308	73.466000	67.240000	
0.100000	0.717737	1.328569	75.110000	57.510000	
0.100000	0.680736	0.928340	76.240000	68.680000	
0.100000	0.647992	1.109041	77.680000	66.680000	
0.100000	0.625894	0.799660	78.340000	71.420000	
0.100000	0.604893	0.940489	79.088000	70.170000	
0.100000	0.597160	0.901606	79.468000	71.840000	
0.100000	0.573757	0.715408	80.128000	75.330000	
0.100000	0.562327	0.804646	80.656000	72.980000	
0.100000	0.557291	0.931826	80.902000	71.690000	
0.100000	0.548662	1.520530	81.164000	59.550000	
0.100000	0.539862	0.642177	81.604000	78.020000	
0.100000	0.532899	0.825084	81.706000	73.550000	
0.100000	0.524387	0.990970	81.942000	68.750000	
0.100000	0.516116	0.656427	82.278000	77.490000	
0.100000	0.510435	0.716872	82.476000	76.500000	
0.100000	0.506842	0.737735	82.564000	74.780000	
0.100000	0.505501	1.247652	82.542000	66.650000	
0.100000	0.496073	0.902212	82.856000	71.930000	
0.100000	0.493480	0.760069	83.052000	74.670000	
0.100000	0.487970	0.775675	83.202000	74.800000	
0.100000	0.482818	0.672201	83.336000	77.790000	
0.100000	0.479511	0.899922	83.510000	72.480000	
0.100000	0.478433	0.808074	83.498000	74.090000	
0.100000	0.470936	0.676680	83.796000	78.190000	
0.100000	0.471236	0.690280	83.932000	78.570000	
0.100000	0.468143	0.578008	83.890000	79.750000	
0.100000	0.465210	0.861652	84.004000	71.710000	
0.100000	0.462117	0.685231	84.078000	78.130000	
0.100000	0.461486	0.848282	84.102000	73.950000	
0.100000	0.460904	0.777324	84.274000	74.440000	
0.100000	0.455819	0.680523	84.326000	78.300000	
0.100000	0.448158	0.727024	84.528000	76.040000	
0.100000	0.450754	0.643154	84.378000	78.910000	
0.100000	0.448713	0.644390	84.660000	77.610000	
0.100000	0.448953	0.896037	84.592000	69.540000	
0.100000	0.443702	0.623611	84.728000	79.810000	
0.100000	0.447837	0.669453	84.462000	78.070000	
0.100000	0.446110	1.090895	84.616000	66.850000	
0.100000	0.440550	0.512329	84.886000	82.880000	
0.100000	0.443334	0.807865	84.688000	74.740000	
0.100000	0.439950	0.675108	84.882000	77.840000	
0.100000	0.442774	0.754346	84.774000	75.810000	
0.100000	0.442225	0.644619	84.762000	78.920000	
0.100000	0.439424	0.858444	84.880000	72.630000	
0.100000	0.433069	0.749562	84.990000	76.440000	
0.100000	0.435393	0.565550	85.100000	81.330000	
0.100000	0.436831	0.662053	85.120000	78.000000	
0.100000	0.432173	1.052455	85.194000	70.750000	
0.100000	0.428764	0.739250	85.374000	76.340000	
0.100000	0.434828	0.783838	84.954000	75.660000	
0.100000	0.428177	0.692927	85.334000	78.030000	
0.100000	0.427997	0.524163	85.290000	82.180000	
0.100000	0.424955	0.724819	85.212000	77.960000	
0.100000	0.428930	0.815808	85.162000	74.080000	
0.100000	0.427479	0.618172	85.280000	79.830000	
0.100000	0.423114	0.595113	85.526000	80.050000	
0.100000	0.425783	0.618735	85.242000	79.890000	
