Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.415659	0.810940	85.730000	75.800000	
0.100000	0.414601	0.636344	85.708000	79.020000	
0.100000	0.414465	0.798192	85.810000	73.970000	
0.100000	0.415953	0.532273	85.536000	81.950000	
0.100000	0.414620	0.713714	85.762000	77.370000	
0.100000	0.415105	0.646009	85.652000	78.510000	
0.100000	0.414526	0.596662	85.828000	80.020000	
0.100000	0.412138	0.870583	85.738000	72.360000	
0.100000	0.417036	0.726848	85.740000	76.480000	
0.100000	0.414536	0.681022	85.766000	77.750000	
0.100000	0.414295	0.828011	85.738000	73.670000	
0.100000	0.406302	0.739064	86.156000	76.380000	
0.100000	0.413572	0.758344	85.802000	77.050000	
0.100000	0.410547	0.732575	85.818000	77.200000	
0.100000	0.414664	0.482506	85.808000	83.160000	
0.100000	0.413055	0.597855	85.798000	80.680000	
0.100000	0.412587	0.619947	85.870000	79.540000	
0.100000	0.410397	0.529253	85.830000	81.960000	
0.100000	0.410016	0.642651	85.914000	77.900000	
0.100000	0.414171	0.705950	85.678000	76.680000	
0.100000	0.414733	0.684419	85.742000	78.110000	
0.100000	0.405055	0.618396	86.126000	79.430000	
0.100000	0.417250	0.660838	85.576000	79.070000	
0.100000	0.412778	0.516553	85.698000	82.140000	
0.100000	0.410603	0.523852	85.952000	82.500000	
0.100000	0.412602	0.537631	85.792000	81.610000	
0.100000	0.407015	0.967688	86.166000	72.160000	
0.100000	0.416261	0.640258	85.626000	78.770000	
0.100000	0.415976	0.803736	85.854000	74.600000	
0.100000	0.414655	0.761734	85.722000	75.930000	
0.100000	0.406906	0.545788	86.142000	81.880000	
0.100000	0.412465	0.652038	85.870000	77.830000	
0.100000	0.406708	0.547050	86.016000	81.410000	
0.100000	0.404753	0.629711	86.130000	78.730000	
0.100000	0.404395	0.721494	86.100000	77.750000	
0.100000	0.408369	0.491444	85.980000	82.790000	
0.100000	0.414665	0.800438	85.554000	74.430000	
0.100000	0.408193	0.704543	85.846000	77.680000	
0.100000	0.406953	0.548466	85.958000	81.290000	
0.100000	0.410570	0.616555	86.044000	79.790000	
0.100000	0.409418	0.714150	85.900000	76.810000	
0.100000	0.405878	0.550874	86.206000	81.290000	
0.100000	0.405496	0.811664	86.034000	75.260000	
0.100000	0.410118	0.752876	86.118000	76.060000	
0.010000	0.257262	0.262529	91.368000	90.680000	
0.010000	0.204206	0.242155	93.170000	91.290000	
0.010000	0.188500	0.244413	93.666000	91.380000	
0.010000	0.170545	0.236909	94.320000	91.820000	
0.010000	0.160448	0.230331	94.604000	92.220000	
0.010000	0.154188	0.229586	94.768000	92.040000	
0.010000	0.143743	0.242680	95.136000	91.440000	
0.010000	0.136078	0.238017	95.412000	91.800000	
0.010000	0.133131	0.233648	95.476000	92.020000	
0.010000	0.132330	0.235415	95.600000	92.010000	
0.010000	0.123770	0.231322	95.780000	92.270000	
0.010000	0.121968	0.246544	95.854000	91.590000	
0.010000	0.115812	0.226885	96.080000	92.210000	
0.010000	0.114200	0.241212	96.140000	91.690000	
0.010000	0.112459	0.252594	96.128000	91.650000	
0.010000	0.109876	0.254342	96.280000	91.560000	
0.010000	0.109437	0.235880	96.306000	92.120000	
0.010000	0.105364	0.263894	96.468000	91.380000	
0.010000	0.103027	0.263240	96.562000	91.750000	
0.010000	0.103759	0.259229	96.570000	91.510000	
0.010000	0.103379	0.260642	96.582000	91.600000	
0.010000	0.103650	0.251050	96.450000	92.030000	
0.010000	0.101623	0.280291	96.560000	91.090000	
0.010000	0.101257	0.261662	96.606000	91.610000	
0.010000	0.105827	0.267980	96.426000	91.390000	
0.010000	0.101684	0.269467	96.568000	91.250000	
0.010000	0.100899	0.278622	96.622000	91.140000	
0.010000	0.103060	0.264769	96.500000	91.600000	
0.010000	0.101461	0.265158	96.622000	91.560000	
0.010000	0.104121	0.274864	96.406000	91.490000	
0.010000	0.101286	0.286710	96.556000	91.060000	
0.010000	0.105263	0.267559	96.470000	91.440000	
0.010000	0.098455	0.314777	96.648000	90.650000	
0.010000	0.103619	0.300801	96.530000	90.510000	
0.010000	0.107719	0.280998	96.354000	91.120000	
0.010000	0.108196	0.326130	96.334000	89.710000	
0.010000	0.108990	0.286352	96.294000	91.220000	
0.010000	0.102429	0.311525	96.530000	90.540000	
0.010000	0.104718	0.320498	96.444000	90.270000	
0.010000	0.107607	0.280050	96.270000	91.230000	
0.010000	0.105528	0.283169	96.438000	91.060000	
0.010000	0.107016	0.303845	96.344000	90.660000	
0.010000	0.105706	0.291955	96.456000	90.980000	
0.010000	0.102410	0.296482	96.486000	90.860000	
0.010000	0.107205	0.279385	96.334000	91.170000	
0.010000	0.102682	0.299232	96.478000	90.850000	
0.010000	0.103476	0.268823	96.440000	91.450000	
0.010000	0.106895	0.293318	96.368000	91.130000	
0.010000	0.106606	0.271289	96.402000	91.210000	
0.010000	0.103081	0.302765	96.454000	90.840000	
0.010000	0.103704	0.319588	96.484000	90.260000	
0.010000	0.101109	0.305721	96.608000	90.720000	
0.010000	0.102691	0.291986	96.498000	91.010000	
0.010000	0.104264	0.308104	96.580000	90.740000	
0.010000	0.105234	0.320723	96.376000	90.140000	
0.010000	0.101556	0.321183	96.486000	90.500000	
0.010000	0.101248	0.321275	96.626000	90.300000	
0.010000	0.102292	0.307146	96.574000	90.760000	
0.010000	0.103371	0.310795	96.546000	90.760000	
0.010000	0.100044	0.306488	96.588000	90.830000	
0.010000	0.100243	0.321312	96.628000	90.480000	
0.010000	0.099466	0.280467	96.654000	91.330000	
0.010000	0.100719	0.352939	96.580000	89.630000	
0.010000	0.099563	0.309040	96.694000	90.770000	
0.010000	0.104179	0.300883	96.442000	90.380000	
0.010000	0.100907	0.295715	96.618000	90.630000	
0.010000	0.105311	0.313895	96.374000	90.030000	
0.010000	0.102911	0.321907	96.468000	90.200000	
0.010000	0.094358	0.306687	96.854000	90.580000	
0.010000	0.099116	0.324965	96.764000	90.370000	
0.010000	0.095696	0.304796	96.816000	90.420000	
0.010000	0.102783	0.324498	96.448000	89.980000	
0.010000	0.098073	0.302126	96.626000	90.650000	
0.010000	0.093369	0.351841	96.842000	89.640000	
0.010000	0.094986	0.336901	96.728000	89.830000	
0.001000	0.056867	0.210890	98.266000	93.300000	
0.001000	0.039368	0.202798	99.026000	93.380000	
0.001000	0.033793	0.206278	99.148000	93.550000	
0.001000	0.030533	0.202085	99.262000	93.650000	
0.001000	0.027238	0.200893	99.370000	93.740000	
0.001000	0.026076	0.205201	99.428000	93.620000	
0.001000	0.024667	0.208870	99.442000	93.720000	
0.001000	0.023296	0.206918	99.516000	93.780000	
0.001000	0.021719	0.206037	99.572000	93.600000	
0.001000	0.021147	0.205787	99.594000	93.770000	
0.001000	0.020582	0.208585	99.568000	93.670000	
0.001000	0.019662	0.207324	99.600000	93.620000	
0.001000	0.018440	0.206279	99.678000	93.680000	
0.001000	0.018308	0.208171	99.650000	93.710000	
0.001000	0.017455	0.207149	99.680000	93.630000	
0.001000	0.016750	0.208117	99.736000	93.700000	
0.001000	0.016799	0.210712	99.684000	93.840000	
0.001000	0.016574	0.212225	99.712000	93.670000	
0.001000	0.015922	0.212790	99.730000	93.650000	
0.001000	0.015343	0.208622	99.718000	93.680000	
0.001000	0.014759	0.207363	99.800000	93.840000	
0.001000	0.015402	0.210084	99.762000	93.850000	
0.001000	0.015004	0.210657	99.748000	93.810000	
